a1	a4	G_theta	G_k	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	1	2	1	0	2.2026666666666666	-0.09754438402106541	2.5	3.452656270853876e-123
0.1	0.1	1	2	1	0	2.3023333333333333	-0.05012586398595403	2.5	9.947498305834168e-129
0.1	0.1	1	2	1	0	2.4019999999999997	0.0022622397230282476	2.5	2.8659882357796156e-134
0.1	0.1	1	2	1	0	2.5016666666666665	0.06014075234195676	2.5	8.257240479055197e-140
0.1	0.1	1	2	1	0	2.6013333333333333	0.12408508294014747	2.5	2.37900558968626e-145
0.1	0.1	1	2	1	0	2.7009999999999996	0.19473094494720705	2.5	6.854187679424805e-151
0.1	0.1	1	2	1	0	2.8006666666666664	0.2727806762061305	2.5	1.9747700025779167e-156
0.1	0.1	1	2	1	0	2.900333333333333	0.35901022138432387	2.5	5.68953863750758e-162
0.1	0.1	1	2	1	0	3.0	0.4027022850505293	2.5	1.6392212695875393e-167
0.1	0.1	1	2	2	1	0.01	0.45	3.5	44.69589635397034
0.1	0.1	1	2	2	1	0.10966666666666666	-0.4940759240126898	3.5	0.00012877399844639316
0.1	0.1	1	2	2	1	0.20933333333333334	-0.4883572055286603	3.5	3.710126438575964e-10
0.1	0.1	1	2	2	1	0.309	-0.48189688147482773	3.5	1.0689299358791488e-15
0.1	0.1	1	2	2	1	0.4086666666666667	-0.47475949832343983	3.5	3.0797096183523998e-21
0.1	0.1	1	2	2	1	0.5083333333333333	-0.4668740989379499	3.5	8.872996269462383e-27
0.1	0.1	1	2	2	1	0.608	-0.4581622892802905	3.5	2.5564118879497377e-32
0.1	0.1	1	2	2	1	0.7076666666666667	-0.448537459414229	3.5	7.365315551120772e-38
0.1	0.1	1	2	2	1	0.8073333333333333	-0.43790392245796833	3.5	2.1220317986820467e-43
0.1	0.1	1	2	2	1	0.907	-0.4261559632967505	3.5	6.113816744664174e-49
0.1	0.1	1	2	2	1	1.0066666666666666	-0.413176787598077	3.5	1.761460653443167e-54
0.1	0.1	1	2	2	1	1.1063333333333334	-0.39883736068100467	3.5	5.07496996264446e-60
0.1	0.1	1	2	2	1	1.206	-0.3829951246959356	3.5	1.4621569929137915e-65
0.1	0.1	1	2	2	1	1.3056666666666668	-0.3654925813615288	3.5	4.212641823820027e-71
0.1	0.1	1	2	2	1	1.4053333333333333	-0.3461557261687703	3.5	1.2137103759585512e-76
0.1	0.1	1	2	2	1	1.5050000000000001	-0.3247923184855757	3.5	3.4968386544992423e-82
0.1	0.1	1	2	2	1	1.6046666666666667	-0.30118997036387646	3.5	1.0074792815331429e-87
0.1	0.1	1	2	2	1	1.7043333333333333	-0.2751140350487395	3.5	2.9026632424477444e-93
0.1	0.1	1	2	2	1	1.804	-0.24630527419777665	3.5	8.36290537531996e-99
