Unnamed: 0,eps,distortion,clip,q,G_k,G_theta,tmia,mia,acc,T,version,machine
24,2.4096029967815333,1.1279341611148864e-05,5.0,0.001,42.23618090452261,1.1279341611148864e-05,0.3660453786650447,0.0,0.0157,1000.0,v6,becat
25,2.50211491386773,1.1279341611148864e-05,5.0,0.004,43.66834170854271,1.1279341611148864e-05,0.367653446501657,0.0234235149435881,0.5306,1000.0,v6,becat
26,2.6050283407496524,1.1279341611148864e-05,5.0,0.002,45.57788944723618,1.1279341611148864e-05,0.3711705976938853,0.007472014838701,0.3857,1000.0,v6,becat
27,2.701322517483328,1.2722354718099426e-05,5.0,0.005,41.75879396984924,1.2722354718099426e-05,0.373367590218514,0.0355601753985508,0.5293,1000.0,v6,becat
28,2.81016138457488,1.2722354718099426e-05,5.0,0.001,43.66834170854271,1.2722354718099426e-05,0.3769533958352931,0.0,0.0205,1000.0,v6,becat
29,2.901865815375632,1.2722354718099426e-05,5.0,0.001,45.10050251256281,1.2722354718099426e-05,0.3789456475439091,0.0,0.0146,1000.0,v6,becat
30,3.003397626239818,1.2722354718099426e-05,5.0,0.003,46.53266331658291,1.2722354718099426e-05,0.3803806315421127,0.0004998750416509,0.3242,1000.0,v6,becat
31,3.101355961215676,1.4349978496365466e-05,5.0,0.001,42.71356783919598,1.4349978496365466e-05,0.3826383608438298,0.0683126401820872,0.0268,1000.0,v6,becat
32,3.204808583962853,1.4349978496365466e-05,5.0,0.001,44.14572864321608,1.4349978496365466e-05,0.3843287864224942,0.0,0.0105,1000.0,v6,becat
33,3.308250972771479,1.4349978496365466e-05,5.0,0.001,45.57788944723618,1.4349978496365466e-05,0.385855529747265,0.0,0.0126,1000.0,v6,becat
34,3.421034602921987,1.618583095731464e-05,5.0,0.001,41.75879396984924,1.618583095731464e-05,0.3873131724463106,0.0,0.0157,1000.0,v6,becat
35,3.506495890964812,1.618583095731464e-05,5.0,0.002,42.71356783919598,1.618583095731464e-05,0.388129545486417,0.0051865266873001,0.3421,1000.0,v6,becat
36,3.6155380795483945,1.618583095731464e-05,5.0,0.001,44.14572864321608,1.618583095731464e-05,0.3895428154580365,0.0,0.0151,1000.0,v6,becat
37,3.701175211772039,1.618583095731464e-05,5.0,0.002,45.10050251256281,1.618583095731464e-05,0.3902228075292622,0.0103462920541442,0.3151,1000.0,v6,becat
38,3.8100096475849647,1.618583095731464e-05,5.0,0.001,46.53266331658291,1.618583095731464e-05,0.3913817590816225,0.0,0.0113,1000.0,v6,becat
39,3.903373796494627,1.825655166278605e-05,5.0,0.001,42.23618090452261,1.825655166278605e-05,0.3921306983398918,0.0,0.0205,1000.0,v6,becat
40,4.004313549083389,1.825655166278605e-05,5.0,0.003,43.19095477386934,1.825655166278605e-05,0.392738377338825,0.0076705063042197,0.3195,1000.0,v6,becat
41,4.122772679222821,1.825655166278605e-05,5.0,0.001,44.62311557788945,1.825655166278605e-05,0.3936762767501205,0.0,0.0149,1000.0,v6,becat
