a1	a4	G_theta	G_k	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	1	2	1	0	2.0033333333333334	-0.179313630905588	2.5	5.631659795070809e-111
0.1	0.1	1	2	1	0	2.1029999999999998	-0.14046473965773493	2.5	1.6225457119323937e-116
0.1	0.1	1	2	1	0	2.2026666666666666	-0.09754438402106541	2.5	4.67474009991569e-122
0.1	0.1	1	2	1	0	2.3023333333333333	-0.05012586398595403	2.5	1.3468461838115724e-127
0.1	0.1	1	2	1	0	2.4019999999999997	0.0022622397230282476	2.5	3.880418171013646e-133
0.1	0.1	1	2	1	0	2.5016666666666665	0.06014075234195676	2.5	1.1179929351189104e-138
0.1	0.1	1	2	1	0	2.6013333333333333	0.12408508294014747	2.5	3.2210657405753106e-144
0.1	0.1	1	2	1	0	2.7009999999999996	0.19473094494720705	2.5	9.280259453522437e-150
0.1	0.1	1	2	1	0	2.8006666666666664	0.2727806762061305	2.5	2.673749077512007e-155
0.1	0.1	1	2	1	0	2.900333333333333	0.35901022138432387	2.5	7.703377438206043e-161
0.1	0.1	1	2	1	0	3.0	0.4027022850505293	2.5	2.219431301709179e-166
0.1	0.1	1	2	2	1	0.01	0.45	3.5	12.992082865580036
0.1	0.1	1	2	2	1	0.10966666666666666	-0.4941672663318272	3.5	3.743167930894398e-05
0.1	0.1	1	2	2	1	0.20933333333333334	-0.488357205791828	3.5	1.0784495683903316e-10
0.1	0.1	1	2	2	1	0.309	-0.4818968814748285	3.5	3.1071367703329056e-16
0.1	0.1	1	2	2	1	0.4086666666666667	-0.47475949832343983	3.5	8.952017036795313e-22
0.1	0.1	1	2	2	1	0.5083333333333333	-0.4668740989379499	3.5	2.5791786764020647e-27
0.1	0.1	1	2	2	1	0.608	-0.4581622892802905	3.5	7.430909277166077e-33
0.1	0.1	1	2	2	1	0.7076666666666667	-0.448537459414229	3.5	2.1409301026984977e-38
0.1	0.1	1	2	2	1	0.8073333333333333	-0.43790392245796833	3.5	6.168264923816482e-44
0.1	0.1	1	2	2	1	0.907	-0.4261559632967505	3.5	1.7771477976991615e-49
0.1	0.1	1	2	2	1	1.0066666666666666	-0.413176787598077	3.5	5.1201664226070924e-55
0.1	0.1	1	2	2	1	1.1063333333333334	-0.39883736068100467	3.5	1.4751786108692518e-60
0.1	0.1	1	2	2	1	1.206	-0.3829951246959356	3.5	4.250158597107031e-66
0.1	0.1	1	2	2	1	1.3056666666666668	-0.3654925813615288	3.5	1.2245193881924667e-71
0.1	0.1	1	2	2	1	1.4053333333333333	-0.3461557261687703	3.5	3.52798065719225e-77
0.1	0.1	1	2	2	1	1.5050000000000001	-0.3247923184855757	3.5	1.0164516493197392e-82
0.1	0.1	1	2	2	1	1.6046666666666667	-0.30118997036387646	3.5	2.9285136620536374e-88
0.1	0.1	1	2	2	1	1.7043333333333333	-0.2751140350487395	3.5	8.437383396027176e-94
0.1	0.1	1	2	2	1	1.804	-0.24630527419777665	3.5	2.430906828060725e-99
0.1	0.1	1	2	2	1	1.9036666666666666	-0.21447728061910737	3.5	7.003721093787061e-105
0.1	0.1	1	2	2	1	2.0033333333333334	-0.179313630905588	3.5	2.0178522925408924e-110
0.1	0.1	1	2	2	1	2.1029999999999998	-0.14046473965773493	3.5	5.813663651062234e-116
0.1	0.1	1	2	2	1	2.2026666666666666	-0.09754438402106541	3.5	1.6749831081600538e-121
0.1	0.1	1	2	2	1	2.3023333333333333	-0.05012586398595403	3.5	4.825818246483695e-127
0.1	0.1	1	2	2	1	2.4019999999999997	0.0022622397230282476	3.5	1.3903735288219362e-132
0.1	0.1	1	2	2	1	2.5016666666666665	0.06014075234195676	3.5	4.005825439151638e-138
0.1	0.1	1	2	2	1	2.6013333333333333	0.12408508294014747	3.5	1.154124205928369e-143
0.1	0.1	1	2	2	1	2.7009999999999996	0.19473094494720705	3.5	3.3251640715326785e-149
0.1	0.1	1	2	2	1	2.8006666666666664	0.2727806762061305	3.5	9.580178672118924e-155
0.1	0.1	1	2	2	1	2.900333333333333	0.35901022138432387	3.5	2.760159240726367e-160
0.1	0.1	1	2	2	1	3.0	0.4027022850505293	3.5	7.952335018906401e-166
0.1	0.1	2	2	1	0	0.01	-0.37709185617751834	4.5	0.12240563546827327
0.1	0.1	2	2	1	0	0.10966666666666666	-0.49420434534647567	4.5	3.5266466045984106e-07
0.1	0.1	2	2	1	0	0.20933333333333334	-0.4883572058986569	4.5	1.0160672934825062e-12
0.1	0.1	2	2	1	0	0.309	-0.48189688147482884	4.5	2.927406288848821e-18
0.1	0.1	2	2	1	0	0.4086666666666667	-0.47475949832343983	4.5	8.434192926946243e-24
0.1	0.1	2	2	1	0	0.5083333333333333	-0.4668740989379499	4.5	2.429987617363613e-29
0.1	0.1	2	2	1	0	0.608	-0.4581622892802905	4.5	7.00107274244964e-35
0.1	0.1	2	2	1	0	0.7076666666666667	-0.448537459414229	4.5	2.0170892721770163e-40
0.1	0.1	2	2	1	0	0.8073333333333333	-0.43790392245796833	4.5	5.811465301970288e-46
0.1	0.1	2	2	1	0	0.907	-0.4261559632967505	4.5	1.6743497385990137e-51
0.1	0.1	2	2	1	0	1.0066666666666666	-0.413176787598077	4.5	4.823993436209899e-57
0.1	0.1	2	2	1	0	1.1063333333333334	-0.39883736068100467	4.5	1.389847780074138e-62
0.1	0.1	2	2	1	0	1.206	-0.3829951246959356	4.5	4.0043106967714675e-68
0.1	0.1	2	2	1	0	1.3056666666666668	-0.3654925813615288	4.5	1.1536877912934192e-73
0.1	0.1	2	2	1	0	1.4053333333333333	-0.3461557261687703	4.5	3.323906710966908e-79
0.1	0.1	2	2	1	0	1.5050000000000001	-0.3247923184855757	4.5	9.57655607226634e-85
0.1	0.1	2	2	1	0	1.6046666666666667	-0.30118997036387646	4.5	2.7591155282028297e-90
0.1	0.1	2	2	1	0	1.7043333333333333	-0.2751140350487395	4.5	7.949327963542527e-96
0.1	0.1	2	2	1	0	1.804	-0.24630527419777665	4.5	2.2902924660468214e-101
0.1	0.1	2	2	1	0	1.9036666666666666	-0.21447728061910737	4.5	6.598595005876963e-107
0.1	0.1	2	2	1	0	2.0033333333333334	-0.179313630905588	4.5	1.9011308248652738e-112
0.1	0.1	2	2	1	0	2.1029999999999998	-0.14046473965773493	4.5	5.477375729278867e-118
0.1	0.1	2	2	1	0	2.2026666666666666	-0.09754438402106541	4.5	1.57809470486165e-123
0.1	0.1	2	2	1	0	2.3023333333333333	-0.05012586398595403	4.5	4.546671655552564e-129
0.1	0.1	2	2	1	0	2.4019999999999997	0.0022622397230282476	4.5	1.309948197641192e-134
0.1	0.1	2	2	1	0	2.5016666666666665	0.06014075234195676	4.5	3.7741108452547047e-140
0.1	0.1	2	2	1	0	2.6013333333333333	0.12408508294014747	4.5	1.0873645765472273e-145
0.1	0.1	2	2	1	0	2.7009999999999996	0.19473094494720705	4.5	3.1328219302737616e-151
0.1	0.1	2	2	1	0	2.8006666666666664	0.2727806762061305	4.5	9.026018925472495e-157
0.1	0.1	2	2	1	0	2.900333333333333	0.35901022138432387	4.5	2.6004994684095715e-162
0.1	0.1	2	2	1	0	3.0	0.4027022850505293	4.5	7.492336921778009e-168
0.1	0.1	2	2	2	1	0.01	-0.07940975104683251	5.5	0.42008774059895904
0.1	0.1	2	2	2	1	0.10966666666666666	-0.49420348769022376	5.5	1.2103209123902903e-06
0.1	0.1	2	2	2	1	0.20933333333333334	-0.48835720589618586	5.5	3.4870732216099576e-12
0.1	0.1	2	2	2	1	0.309	-0.48189688147482884	5.5	1.0046657484298826e-17
0.1	0.1	2	2	2	1	0.4086666666666667	-0.47475949832343983	5.5	2.894557131215504e-23
