a1	a3	a4	G_theta	G_k	E_lambda	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	0.1	1	2	1	2	1	1.1063333333333334	-0.37387185337429535	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	1.206	-0.3705686593812975	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	1.3056666666666668	-0.359307365963386	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	1.4053333333333333	-0.3431991823068126	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	1.5050000000000001	-0.3234603104049886	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	1.6046666666666667	-0.30058986239673996	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	1.7043333333333333	-0.274843669142204	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	1.804	-0.24618346657744844	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	1.9036666666666666	-0.21442240278129082	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	2.0033333333333334	-0.17928890686061189	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	2.1029999999999998	-0.14045360076407037	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	2.2026666666666666	-0.0975393656289622	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	2.3023333333333333	-0.050123759768626985	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	2.4019999999999997	0.002263097804337366	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	2.5016666666666665	0.060141102259963664	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	2.6013333333333333	0.12408522563363139	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	2.7009999999999996	0.1947310031363541	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	2.8006666666666664	0.2727806999351526	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	2.900333333333333	0.35901023106081026	4.5	nan
0.1	0.1	0.1	1	2	1	2	1	3.0	0.40270228524698837	4.5	nan
0.1	0.1	0.1	1	2	5	1	0	0.01	0.45	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	0.10966666666666666	-0.4472910381380985	2.7	nan
0.1	0.1	0.1	1	2	5	1	0	0.20933333333333334	-0.4876951701573194	2.7	nan
